day,hour,minute,vehicle,duration
0,0,0,29,315
0,0,0,36,360
0,0,0,66,300
0,0,15,29,315
0,0,15,36,360
0,0,15,66,300
0,0,30,29,315
0,0,30,36,360
0,0,30,66,300
0,0,45,29,315
0,0,45,36,360
0,0,45,66,300
0,1,0,29,315
0,1,0,36,360
0,1,0,66,300
0,1,15,19,540
0,1,15,29,315
0,1,15,36,360
0,1,15,65,540
0,1,15,66,300
0,1,30,19,540
0,1,30,29,315
0,1,30,36,360
0,1,30,65,540
0,1,30,66,300
0,1,45,19,540
0,1,45,29,315
0,1,45,36,360
0,1,45,65,540
0,1,45,66,300
0,2,0,19,540
0,2,0,29,315
0,2,0,36,360
0,2,0,49,495
0,2,0,65,540
0,2,0,66,300
0,2,15,19,540
0,2,15,29,315
0,2,15,36,360
0,2,15,49,495
0,2,15,65,540
0,2,15,66,300
0,2,30,19,540
0,2,30,29,315
0,2,30,36,360
0,2,30,49,495
0,2,30,65,540
0,2,30,66,300
0,2,45,16,540
0,2,45,19,540
0,2,45,29,315
0,2,45,36,360
0,2,45,49,495
0,2,45,65,540
0,2,45,66,300
0,3,0,16,540
0,3,0,19,540
0,3,0,29,315
0,3,0,33,435
0,3,0,36,360
0,3,0,49,495
0,3,0,65,540
0,3,0,66,300
0,3,15,6,510
0,3,15,16,540
0,3,15,19,540
0,3,15,29,315
0,3,15,33,435
0,3,15,36,360
0,3,15,49,495
0,3,15,65,540
0,3,15,66,300
0,3,30,0,585
0,3,30,6,510
0,3,30,14,540
0,3,30,16,540
0,3,30,19,540
0,3,30,29,315
0,3,30,33,435
0,3,30,36,360
0,3,30,49,495
0,3,30,65,540
0,3,30,66,300
0,3,45,0,585
0,3,45,6,510
0,3,45,14,540
0,3,45,16,540
0,3,45,19,540
0,3,45,29,315
0,3,45,33,435
0,3,45,36,360
0,3,45,49,495
0,3,45,58,450
0,3,45,65,540
0,3,45,66,300
0,4,0,0,585
0,4,0,6,510
0,4,0,14,540
0,4,0,16,540
0,4,0,19,540
0,4,0,29,315
0,4,0,33,435
0,4,0,36,360
0,4,0,49,495
0,4,0,58,450
0,4,0,65,540
0,4,0,66,300
0,4,0,72,390
0,4,0,76,570
0,4,15,0,585
0,4,15,6,510
0,4,15,14,540
0,4,15,16,540
0,4,15,19,540
0,4,15,29,315
0,4,15,33,435
0,4,15,36,360
0,4,15,49,495
0,4,15,53,510
0,4,15,58,450
0,4,15,65,540
0,4,15,66,300
0,4,15,72,390
0,4,15,76,570
0,4,30,0,585
0,4,30,6,510
0,4,30,14,540
0,4,30,16,540
0,4,30,19,540
0,4,30,29,315
0,4,30,33,435
0,4,30,36,360
0,4,30,49,495
0,4,30,53,510
0,4,30,58,450
0,4,30,65,540
0,4,30,66,300
0,4,30,72,390
0,4,30,76,570
0,4,45,0,585
0,4,45,6,510
0,4,45,14,540
0,4,45,16,540
0,4,45,19,540
