day,hour,minute,demand
0,0,0,0.8825712705992514
0,0,15,1.6377688268681705
0,0,30,1.442716337001382
0,0,45,0.759152383501796
0,1,0,2.323211912667888
0,1,15,1.643989553529983
0,1,30,0.0
0,1,45,0.0
0,2,0,0.57562862504266
0,2,15,1.4033156888231495
0,2,30,1.3035305784606055
0,2,45,0.0
0,3,0,2.06137413265874
0,3,15,0.8146824458383352
0,3,30,4.274094251065624
0,3,45,4.514804841899946
0,4,0,0.0
0,4,15,0.0383223964742686
0,4,30,0.0
0,4,45,0.0
0,5,0,0.0
0,5,15,0.0
0,5,30,0.0
0,5,45,0.0
0,6,0,0.0
0,6,15,0.0
0,6,30,0.0
0,6,45,0.0
0,7,0,0.0
0,7,15,0.0
0,7,30,0.0
0,7,45,0.0
0,8,0,0.0
0,8,15,0.0
0,8,30,0.0
0,8,45,0.0
0,9,0,0.0
0,9,15,0.0
0,9,30,0.0
0,9,45,0.0
0,10,0,0.3158144588910878
0,10,15,0.0
0,10,30,0.0
0,10,45,0.0
0,11,0,0.0
0,11,15,0.0
0,11,30,0.0
0,11,45,0.0
0,12,0,0.0
0,12,15,0.0
0,12,30,0.0
0,12,45,0.0
0,13,0,0.0
0,13,15,0.0722082561537778
0,13,30,0.0
0,13,45,0.3648546133340449
0,14,0,0.1370571454508562
0,14,15,0.0
0,14,30,0.0
0,14,45,0.0
0,15,0,0.0
0,15,15,0.0
0,15,30,0.0
0,15,45,0.0
0,16,0,0.0
0,16,15,0.0
0,16,30,0.0
0,16,45,0.0
0,17,0,0.0
0,17,15,0.0
0,17,30,0.0
0,17,45,0.0
0,18,0,0.0
0,18,15,0.9362281965354742
0,18,30,0.0
0,18,45,0.0
0,19,0,0.5574990991778782
0,19,15,0.1238726339472692
0,19,30,2.479527995734992
0,19,45,5.926221583691108
0,20,0,0.0
0,20,15,1.2517371890452105
0,20,30,0.295530725097434
0,20,45,1.5456680078325111
0,21,0,4.037590312590515
0,21,15,2.850583188515859
0,21,30,0.0
0,21,45,0.0
0,22,0,0.0
0,22,15,0.0
0,22,30,2.411744950976043
0,22,45,0.0
0,23,0,3.1445371604826726
0,23,15,0.0
0,23,30,0.0
0,23,45,0.0
1,0,0,0.0
1,0,15,0.0
1,0,30,0.0
1,0,45,0.0
1,1,0,0.0
1,1,15,0.0
1,1,30,0.0
1,1,45,0.0
1,2,0,0.0
1,2,15,0.0
1,2,30,0.0
1,2,45,0.0
1,3,0,0.0
1,3,15,0.0
1,3,30,0.0
1,3,45,0.0
1,4,0,0.0
1,4,15,0.0
1,4,30,0.0
1,4,45,0.0
1,5,0,0.0
1,5,15,0.0
1,5,30,0.0
1,5,45,0.1812339104771125
1,6,0,0.0
1,6,15,0.0
1,6,30,0.0
1,6,45,0.0
1,7,0,0.0
1,7,15,0.0
1,7,30,0.0
1,7,45,0.0
1,8,0,0.0
1,8,15,0.0
1,8,30,0.0
1,8,45,0.0
1,9,0,0.0
1,9,15,0.0
1,9,30,0.0
1,9,45,0.0
1,10,0,0.0
1,10,15,0.0
1,10,30,0.0
1,10,45,0.0
1,11,0,0.0
1,11,15,0.0
1,11,30,0.0
1,11,45,0.0
1,12,0,0.3110095870193038
1,12,15,0.1884626286047468
1,12,30,0.0
1,12,45,0.0098155950899446
1,13,0,1.5917304444328515
1,13,15,0.6356114379057145
1,13,30,0.0
1,13,45,0.0
1,14,0,0.0
1,14,15,0.0
1,14,30,0.0
1,14,45,0.0
1,15,0,0.0
1,15,15,0.0
1,15,30,0.0
1,15,45,0.0
1,16,0,0.0
1,16,15,0.0
1,16,30,0.0
1,16,45,0.0
1,17,0,0.0
1,17,15,0.0
1,17,30,0.0
1,17,45,0.0
1,18,0,0.0
1,18,15,0.0
1,18,30,0.0
1,18,45,0.0
1,19,0,0.0
1,19,15,0.0
1,19,30,0.0
1,19,45,0.0
1,20,0,0.0
1,20,15,0.0
1,20,30,0.0
1,20,45,1.3181393977219082
1,21,0,4.625632471616275
1,21,15,4.718825819596815
1,21,30,2.6895816242408177
1,21,45,1.9152460151731647
1,22,0,0.3559346054413984
1,22,15,2.591360072303196
1,22,30,5.295572864625206
1,22,45,1.973398973299928
1,23,0,0.2144699413874503
1,23,15,2.2804670949266628
1,23,30,1.8734565267806789
1,23,45,1.101483294377295
2,0,0,0.0
2,0,15,0.0
2,0,30,0.0
2,0,45,0.0
2,1,0,0.0
2,1,15,0.0
2,1,30,0.0
2,1,45,0.0
2,2,0,0.0
2,2,15,0.0
2,2,30,0.0
2,2,45,0.0
2,3,0,0.0
2,3,15,0.0
2,3,30,0.0
2,3,45,0.4218712869752388
2,4,0,0.0
2,4,15,0.0
2,4,30,0.0
2,4,45,0.0
2,5,0,0.0
2,5,15,0.0
2,5,30,0.0
2,5,45,0.0
2,6,0,0.0
2,6,15,0.0
2,6,30,0.0
2,6,45,0.0
2,7,0,0.0
2,7,15,0.0
2,7,30,0.0
2,7,45,0.0
2,8,0,0.0
2,8,15,0.0
2,8,30,0.0
2,8,45,0.0
2,9,0,0.0
2,9,15,0.0
2,9,30,0.0
2,9,45,0.0
2,10,0,0.0
2,10,15,0.0
2,10,30,0.0
2,10,45,0.0
2,11,0,0.0
2,11,15,0.0
2,11,30,0.0
2,11,45,0.0
2,12,0,0.2001612913374025
2,12,15,0.0
2,12,30,0.0
2,12,45,0.0
2,13,0,0.0
2,13,15,1.5224383575050655
2,13,30,0.0
2,13,45,0.4898541592068534
2,14,0,3.254386555351142
2,14,15,1.052974511207177
2,14,30,0.0652391969706421
2,14,45,0.0
2,15,0,0.0
2,15,15,0.0
2,15,30,0.0
2,15,45,0.0
2,16,0,0.0
2,16,15,0.0
2,16,30,0.0
2,16,45,0.0
2,17,0,0.0
2,17,15,0.0
2,17,30,0.0
2,17,45,0.0
2,18,0,0.0684548755729582
2,18,15,0.2029394394642222
2,18,30,2.0690604343334247
2,18,45,0.0
2,19,0,1.6520921117254614
2,19,15,0.3833256425972378
2,19,30,0.0
2,19,45,1.4510953421613904
2,20,0,0.0
2,20,15,0.5290419245787686
2,20,30,0.0
2,20,45,0.0
2,21,0,0.4407244651662432
2,21,15,2.7488214674634968
2,21,30,0.0
2,21,45,1.620427807927218
2,22,0,1.718317864717512
2,22,15,0.2287525905753146
2,22,30,4.332740469570826
2,22,45,0.4032004742280238
2,23,0,2.2020995971731847
2,23,15,0.6134373848489078
2,23,30,2.0471980440898387
2,23,45,4.288144918764872
3,0,0,0.0
3,0,15,0.0
3,0,30,0.0
3,0,45,0.0
3,1,0,1.2677587880538184
3,1,15,1.0550563970320717
3,1,30,1.6975731462687431
3,1,45,2.731382951883226
3,2,0,0.0
3,2,15,0.0
3,2,30,0.0
3,2,45,1.6046595850333114
3,3,0,2.0076787427923253
3,3,15,2.1174024105488014
3,3,30,0.0
3,3,45,0.0
3,4,0,0.0
3,4,15,0.0
3,4,30,0.0
3,4,45,0.0
3,5,0,0.0
3,5,15,0.0
3,5,30,0.1145008237105664
3,5,45,0.0734388273743637
3,6,0,0.0
3,6,15,0.0
3,6,30,0.0
3,6,45,0.0
