day,hour,minute,min_shifts
0,0,0,0
0,0,15,0
0,0,30,0
0,0,45,0
0,1,0,0
0,1,15,0
0,1,30,0
0,1,45,0
0,2,0,0
0,2,15,0
0,2,30,0
0,2,45,0
0,3,0,0
0,3,15,0
0,3,30,0
0,3,45,0
0,4,0,0
0,4,15,0
0,4,30,15
0,4,45,15
0,5,0,15
0,5,15,16
0,5,30,16
0,5,45,18
0,6,0,0
0,6,15,0
0,6,30,0
0,6,45,0
0,7,0,0
0,7,15,0
0,7,30,0
0,7,45,0
0,8,0,0
0,8,15,0
0,8,30,0
0,8,45,0
0,9,0,0
0,9,15,0
0,9,30,0
0,9,45,0
0,10,0,0
0,10,15,0
0,10,30,0
0,10,45,0
0,11,0,0
0,11,15,0
0,11,30,0
0,11,45,0
0,12,0,28
0,12,15,28
0,12,30,28
0,12,45,28
0,13,0,28
0,13,15,28
0,13,30,28
0,13,45,28
0,14,0,28
0,14,15,28
0,14,30,28
0,14,45,28
0,15,0,0
0,15,15,0
0,15,30,0
0,15,45,0
0,16,0,0
0,16,15,0
0,16,30,0
0,16,45,0
0,17,0,0
0,17,15,0
0,17,30,0
0,17,45,0
0,18,0,0
0,18,15,0
0,18,30,0
0,18,45,0
0,19,0,0
0,19,15,0
0,19,30,0
0,19,45,0
0,20,0,15
0,20,15,18
0,20,30,18
0,20,45,18
0,21,0,18
0,21,15,17
0,21,30,17
0,21,45,17
0,22,0,0
0,22,15,0
0,22,30,0
0,22,45,0
0,23,0,0
0,23,15,0
0,23,30,0
0,23,45,0
